source,target,type,amount
EU Commission,SNS JU,Public Funding,€900M
6G-IA,SNS JU,Private Match,€900M
SNS JU,Eurescom,Admin Support,
NextGenEU,Spanish Gov,Funding Source,Recovery Funds
NextGenEU,RESTART,Funding Source,PNRR Funds
SNS JU,Call 1,Allocation,~€380M
SNS JU,Call 2,Allocation,~€130M
SNS JU,Call 3,Allocation,TBD
BMBF,6G-ANNA,Grant (70%),€38.4M
BMBF,Fraunhofer,Hub Funding,~€70M (Hubs)
France 2030,PEPR Networks,Funding Program,€65M
PEPR Networks,CEA-Leti,Co-Director,
PEPR Networks,CNRS,Co-Director,
PEPR Networks,IMT,Co-Director,
IMT,France 6G,Launches,
Orange,France 6G,Member,
Thales,France 6G,Member,
France 2030,Orange,Key Industry,
Business Finland,6G Flagship,Total Prg,€251M
Spanish Gov,IMDEA Networks,Grant,UNICO I+D
Spanish Gov,Telefónica,Grant/Aid,UNICO
Spanish Gov,i2CAT,Grant,UNICO
UK Gov,Univ Bristol,Strategy,£100M
RESTART,CNIT,Research,Partner
RESTART,TIM,Industry,Partner
FNS,TNO,Coordination,Lead
FNS,TU Delft,Research,Partner
TNO,Hexa-X-II,Partner,
TNO,6G-IA,Member,
KPN,6G-IA,Member,
KPN,FNS,Industry Partner,
TU Delft,6G-IA,Member,
NCBR,SNS JU,Partner Agency,
Polish Presidency,EU Commission,Policy (DNA),
NCBR,IS-Wireless,R&D Funding,Grant
Orange PL,NCBR,Collaboration,
Orange PL,Orange,Subsidiary,
NCBR,EuCNC 2025,Host Country,
SNS JU,EuCNC 2025,Organizer,
LMT,6G-IA,Member,
LMT,VANTAGE,Coordinator,
EDF,VANTAGE,Defence Funding,€10M
TalTech,XTRUST-6G,Partner,
SNS JU,XTRUST-6G,Funding,
Photonics LT,6G-IA,Tech Input,
BELSPO,IMEC,Funding,
IMEC,SNS JU,Strategic Partner,
IMEC,KU Leuven,Partner,
IMEC,Hexa-X-II,Contributor,
FCT,IT Portugal,Funding,
Altice Labs,IT Portugal,Innovation Partner,
Altice Labs,SNS JU,Partner,
IT Portugal,SNS JU,Project Partner,
U. Aveiro,IT Portugal,Affiliation,
WINGS ICT,6G-IA,Member,
WINGS ICT,Hexa-X-II,Partner,
WINGS ICT,SUSTAIN-6G,Partner,
ISI/Athena,SUNRISE-6G,Coordinator,
SNS JU,SUNRISE-6G,Funding,
SNS JU,6G-VERSUS,Funding,
Telekom Slovenije,IJS,Collaboration,
Call 3,SUSTAIN-6G,Funds,
Nokia,SUSTAIN-6G,Coordinator,
Orange,SUSTAIN-6G,Tech Manager,
Eurescom,SUSTAIN-6G,Innov Manager,
Deutsche Telekom,SUSTAIN-6G,Partner,
Telefónica,SUSTAIN-6G,Partner,
TIM,SUSTAIN-6G,Partner,
6G Flagship,SUSTAIN-6G,Partner,
IMEC,SUSTAIN-6G,Partner,
CEA-Leti,SUSTAIN-6G,Partner,
PoliTo,SUSTAIN-6G,Partner,
Siemens,SUSTAIN-6G,Partner,
John Deere,SUSTAIN-6G,Partner,
Call 2,6G-PATH,Funds,
Altice Labs,6G-PATH,Partner,
IT Portugal,6G-PATH,Partner,
OTE,6G-PATH,Partner,
Orange RO,6G-PATH,Partner,
Telefónica,6G-PATH,R&D Partner,
Airbus,6G-PATH,Partner,
U. Malaga,6G-PATH,Partner,
Karlstad U,6G-PATH,Partner,
Fraunhofer,6G-PATH,Partner,
Vodafone,6G-ANNA,Partner,
Bosch,6G-ANNA,Partner,
Rohde & Schwarz,6G-ANNA,Partner,
TU Dresden,6G-ANNA,Partner,
TU Munich,6G-ANNA,Partner,
RWTH Aachen,6G-ANNA,Partner,
KIT,6G-ANNA,Partner,
Airbus,6G-ANNA,Partner,
Siemens,6G-ANNA,Partner,
Ericsson,6G-ANNA,Partner,
Fraunhofer,6G-ANNA,Partner,
SAL,6G-IA,Member,
AIT Austria,6G-IA,Member,
NXP,SAL,Industry Partner,
TU Wien,SAL,Research Partner,
AIT Austria,XTRUST-6G,Partner,
SERI,6G-XR,National Grant,Funding (CH)
Swisscom,6G-XR,Partner,
ETH Zurich,6G-XR,Partner,
EPFL,6G-IA,Member,
UK Gov,EU Commission,Horizon Europe Assoc.,Assoc.
Univ Bristol,6G-IA,Member,
CERTH,XTRUST-6G,Coordinator,
Telefónica,XTRUST-6G,Partner,
TalTech,XTRUST-6G,Partner,
Telekom Slovenije,XTRUST-6G,Partner,
Univ Portsmouth,XTRUST-6G,Partner,
Ericsson,XTRUST-6G,Partner,
Call 1,Hexa-X-II,Flagship Funding,
Call 1,6G-SANDBOX,Funds,
Nokia,Hexa-X-II,Project Lead,
Ericsson,Hexa-X-II,Tech Manager,
Nokia,6G-ANNA,Lead,
Nokia,6G-IA,Chairs,
Deutsche Telekom,6G-IA,Member,
Telefónica,6G-IA,Member,
Telefónica,ENABLE-6G,Partner,
IMDEA Networks,ENABLE-6G,Coordination,
Spanish Gov,ENABLE-6G,Funding,UNICO
i2CAT,6G-IA,Member,
Orange,6G-IA,Member,
Thales,6G-IA,Member,
Airbus,Thales,Space/NTN Collab,
CEA-Leti,RISE-6G,Coordination,
6G Flagship,SUNRISE-6G,Infrastructure Provider,
CEA-Leti,SUNRISE-6G,Infrastructure Provider,
LMT,SUNRISE-6G,Infrastructure Provider,
U. Malaga,SUNRISE-6G,Infrastructure Provider,
Atos,SUNRISE-6G,Integration Partner,
Atos,6G-IA,Member,
NCBR,SUNRISE-6G,Partner Agency,
VTT,6G-XR,Partner,
Matsuko,6G-XR,Partner,
Capgemini,6G-XR,Partner,
Vicomtech,6G-XR,Partner,
Telefónica,6G-XR,Partner,
Ericsson,6G-XR,Partner,
i2CAT,6G-XR,Partner,
Call 2,6G-XR,Funds,
